"","gene"
"291","ENSDARG00000006257,vldlr,10,protein_coding"
"292","ENSDARG00000021975,ginm1,20,protein_coding"
"293","ENSDARG00000009208,prkcda,6,protein_coding"
"294","ENSDARG00000073843,myo9ab,25,protein_coding"
"295","ENSDARG00000020328,plekha6,11,protein_coding"
"296","ENSDARG00000016494,ddc,16,protein_coding"
"297","ENSDARG00000003927,cldn12,16,protein_coding"
"298","ENSDARG00000019861,fgl2a,4,protein_coding"
"299","ENSDARG00000033437,rps6ka1,17,protein_coding"
"300","ENSDARG00000007711,rab3il1,25,protein_coding"
"301","ENSDARG00000006526,fn1b,1,protein_coding"
"302","ENSDARG00000012381,hsc70,15,protein_coding"
"303","ENSDARG00000006029,lta4h,4,protein_coding"
"304","ENSDARG00000093182,eif2ak1,12,protein_coding"
"305","ENSDARG00000028401,rhogc,5,protein_coding"
"306","ENSDARG00000024540,tspan36,8,protein_coding"
"307","ENSDARG00000030775,sybl1,14,protein_coding"
"308","ENSDARG00000033596,polr2c,25,protein_coding"
"309","ENSDARG00000006849,asic2,3,protein_coding"
"310","ENSDARG00000022303,higd1a,2,protein_coding"
"311","ENSDARG00000018283,cyba,18,protein_coding"
"312","ENSDARG00000016835,tcirg1a,1,protein_coding"
"313","ENSDARG00000007108,lipia,21,protein_coding"
"314","ENSDARG00000024828,tmem134,1,protein_coding"
"315","ENSDARG00000028327,gmfb,13,protein_coding"
"316","ENSDARG00000019521,mpx,10,protein_coding"
"317","ENSDARG00000025033,stx5a,14,protein_coding"
"318","ENSDARG00000023999,heatr5a,17,protein_coding"
"319","ENSDARG00000030440,rsrp1,13,protein_coding"
"320","ENSDARG00000029609,macrod1,14,protein_coding"
"321","ENSDARG00000033916,si:ch211-243j20.2,20,protein_coding"
"322","ENSDARG00000006546,ak4,6,protein_coding"
"323","ENSDARG00000058352,acot9.1,24,protein_coding"
"324","ENSDARG00000030656,sept3,1,protein_coding"
"325","ENSDARG00000076171,znf827,1,protein_coding"
"326","ENSDARG00000023394,slc37a2,5,protein_coding"
"327","ENSDARG00000027143,aptx,1,protein_coding"
"328","ENSDARG00000102035,SLC52A1,19,protein_coding"
"329","ENSDARG00000022974,wdr13,8,protein_coding"
"330","ENSDARG00000025338,hagh,3,protein_coding"
"331","ENSDARG00000012972,cfl1l,13,protein_coding"
"332","ENSDARG00000029019,epb41b,16,protein_coding"
"333","ENSDARG00000059054,pdk2b,19,protein_coding"
"334","ENSDARG00000021702,pdcd4a,1,protein_coding"
"335","ENSDARG00000015551,fth1a,7,protein_coding"
"336","ENSDARG00000016541,SASH3,14,protein_coding"
"337","ENSDARG00000023712,mao,9,protein_coding"
"338","ENSDARG00000009087,cd74a,14,protein_coding"
"339","ENSDARG00000020926,creb3l3l,8,protein_coding"
"340","ENSDARG00000035018,thy1,5,protein_coding"
"341","ENSDARG00000058094,ciarta,19,protein_coding"
"342","ENSDARG00000033889,spty2d1,25,protein_coding"
"343","ENSDARG00000028099,sh2d3ca,10,protein_coding"
"344","ENSDARG00000028748,tm9sf3,13,protein_coding"
"345","ENSDARG00000030896,foxq1a,2,protein_coding"
"346","ENSDARG00000025011,synj1,10,protein_coding"
"347","ENSDARG00000006553,rras,3,protein_coding"
"348","ENSDARG00000023713,aqp1a.1,2,protein_coding"
"349","ENSDARG00000027222,adgrg1,7,protein_coding"
"350","ENSDARG00000011672,sema3b,8,protein_coding"
"351","ENSDARG00000027418,trappc4,15,protein_coding"
"352","ENSDARG00000028618,KRT18,,"
"353","ENSDARG00000022983,ccdc28a,17,protein_coding"
"354","ENSDARG00000018179,acvrl1,23,protein_coding"
"355","ENSDARG00000021339,cpa5,25,protein_coding"
"356","ENSDARG00000024017,mamdc1,17,protein_coding"
"357","ENSDARG00000013628,cd164,20,protein_coding"
"358","ENSDARG00000032049,enah,20,protein_coding"
"359","ENSDARG00000038537,gga1,6,protein_coding"
"360","ENSDARG00000003655,tmem59l,22,protein_coding"
"361","ENSDARG00000031683,fosab,20,protein_coding"
"362","ENSDARG00000009131,slc10a4,20,protein_coding"
"363","ENSDARG00000035577,cds2,5,protein_coding"
"364","ENSDARG00000028173,slc4a2a,2,protein_coding"
"365","ENSDARG00000016513,setd3,17,protein_coding"
"366","ENSDARG00000017141,pla2g4ab,20,protein_coding"
"367","ENSDARG00000010181,asap2a,17,protein_coding"
